,ï..matchup,game_date,type_of_hit,type_of_hit_nbr,exit_velocity,predicted_zone,camera_zone,used_zone
74,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,5,NA,5
75,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,79.2,1,1,1
76,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,87.3,4,4,4
77,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,4,NA,4
78,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,77.6,1,1,1
79,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,76.9,1,1,1
80,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,98.6,5,5,5
81,Seattle Mariners VS Minnesota Twins,5/18/19,Pop Up,5,81.7,1,1,1
82,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,76.3,4,NA,4
83,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,79.3,4,NA,4
84,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,3,NA,3
85,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,5,NA,5
86,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,4,NA,4
87,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,81,5,NA,5
88,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,85.8,4,4,4
89,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,4,NA,4
90,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,67.6,1,1,1
91,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,89.7,4,NA,4
92,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,74.3,1,1,1
93,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,106.6,5,5,5
94,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,76.2,4,NA,4
95,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,76.8,2,NA,2
96,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,55.1,5,NA,5
97,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,4,NA,4
98,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,73.4,4,NA,4
99,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,78.8,2,NA,2
100,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,3,3,3
101,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,110.6,4,4,4
102,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,95.2,5,NA,5
103,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,5,NA,5
104,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,105.3,6,6,6
105,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,5,NA,5
106,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,1,1,1
107,Baltimore Orioles VS Minnesota Twins,4/20/19,Pop Up,5,74.9,1,1,1
108,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,71,3,NA,3
109,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,64.5,5,NA,5
110,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,98.4,4,4,4
111,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,2,NA,2
112,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,65.8,3,NA,3
113,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,5,NA,5
114,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,42,1,1,1
115,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,61.2,1,1,1
116,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,98.7,4,4,4
117,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,79.6,1,1,1
118,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,73.9,4,4,4
119,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,2,NA,2
120,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,85.3,4,4,4
121,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,73.9,5,NA,5
122,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,80.1,1,1,1
123,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,3,3,3
124,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,2,NA,2
125,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,NA,1,1,1
126,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,106.2,5,5,5
127,Baltimore Orioles VS Minnesota Twins,4/20/19,Batter hits self,1,66.3,1,1,1
128,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,85.5,4,4,4
129,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,92.7,6,6,6
130,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,70.5,4,NA,4
131,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,3,NA,3
132,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,66.3,1,1,1
133,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,68.7,2,NA,2
134,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,3,NA,3
135,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,69.6,2,NA,2
136,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,2,NA,2
137,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,108.5,6,6,6
138,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,95.8,5,NA,5
139,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,53.3,1,1,1
140,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,70.5,2,NA,2
141,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,108.5,7,7,7
142,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,4,NA,4
143,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,1,1,1
144,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,75.6,3,NA,3
145,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,70.8,3,NA,3
146,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,3,NA,3
147,Baltimore Orioles VS Minnesota Twins,4/20/19,Pop Up,5,78.1,1,1,1
148,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,56.9,5,NA,5
149,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,60.3,5,5,5
150,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,5,NA,5
151,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,4,NA,4
152,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,46.9,4,NA,4
153,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,1,1,1
154,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,1,1,1
155,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,4,NA,4
156,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,5,NA,5
157,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,86.9,5,NA,5
158,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,3,3,3
