,ï..matchup,game_date,type_of_hit,type_of_hit_nbr,exit_velocity,predicted_zone,camera_zone,used_zone
298,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,102.3,7,7,7
299,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,1,1,1
300,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Pop Up,5,79.8,1,NA,1
301,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,1,1,1
302,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,5,NA,5
303,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,98,4,4,4
304,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,60.8,5,NA,5
305,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,1,1,1
306,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,5,NA,5
307,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,62.6,4,NA,4
308,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,79.6,1,1,1
309,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Line,4,NA,1,1,1
310,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,107,4,4,4
311,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,81.2,4,NA,4
312,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,5,NA,5
313,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,77.6,4,NA,4
314,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,2,4,4
315,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,5,NA,5
316,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,74.8,1,1,1
317,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,67.8,4,NA,4
318,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Line,4,77.9,1,1,1
319,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,81.4,4,NA,4
320,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,4,NA,4
321,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,1,1,1
322,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,2,4,4
323,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,1,1,1
324,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Line,4,77.8,5,5,5
325,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,56.1,3,NA,3
326,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,4,NA,4
327,Milwaukee Brewers vs New York Mets,5/4/19,Line,4,NA,1,1,1
328,Milwaukee Brewers vs New York Mets,5/4/19,Batter hits self,1,NA,1,1,1
329,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,1,1,1
330,Milwaukee Brewers vs New York Mets,5/4/19,Pop Up,5,67.7,1,NA,1
331,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,69,3,NA,3
332,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,72.2,1,1,1
333,Milwaukee Brewers vs New York Mets,5/4/19,Pop Up,5,65.6,1,NA,1
334,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,89,5,NA,5
335,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,NA,2,NA,2
336,Milwaukee Brewers vs New York Mets,5/4/19,Batter hits self,1,NA,1,1,1
337,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,98.5,5,NA,5
338,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,65.5,1,1,1
339,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,NA,1,1,1
340,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,NA,1,1,1
341,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,58.6,1,1,1
342,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,108.7,4,NA,4
343,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,68.7,5,5,5
344,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,65.8,1,1,1
345,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,43.8,5,NA,5
346,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,1,1,1
347,Milwaukee Brewers vs New York Mets,5/4/19,Line,4,NA,1,1,1
348,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,58.5,4,NA,4
349,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,74.4,4,NA,4
350,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,53.2,4,NA,4
351,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,NA,5,NA,5
352,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,73.9,2,NA,2
353,Milwaukee Brewers vs New York Mets,5/4/19,Line,4,94.8,5,NA,5
354,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,76.9,4,NA,4
355,Milwaukee Brewers vs New York Mets,5/4/19,Line,4,NA,1,1,1
356,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,4,NA,4
357,Milwaukee Brewers vs New York Mets,5/4/19,Pop Up,5,NA,1,NA,1
358,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,4,NA,4
359,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,80,2,1,1
360,Milwaukee Brewers vs New York Mets,5/4/19,Line,4,NA,1,1,1
361,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,78.4,4,NA,4
362,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,5,NA,5
363,Milwaukee Brewers vs New York Mets,5/4/19,Line,4,NA,1,1,1
364,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,78.9,4,NA,4
365,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,70.6,4,NA,4
366,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,73.3,3,NA,3
367,Milwaukee Brewers vs New York Mets,5/4/19,Pop Up,5,75,1,NA,1
368,Milwaukee Brewers vs New York Mets,5/4/19,Line,4,NA,1,1,1
369,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,92.1,5,NA,5
370,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,65.1,4,NA,4
371,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,78.9,1,1,1
372,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,1,1,1
373,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,97.7,5,NA,5
374,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,5,NA,5
375,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,1,1,1
376,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,NA,1,1,1
377,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,84.6,1,1,1
378,Milwaukee Brewers vs New York Mets,5/4/19,Pop Up,5,76.4,1,NA,1
379,Milwaukee Brewers vs New York Mets,5/4/19,Pop Up,5,74,1,NA,1
380,Milwaukee Brewers vs New York Mets,5/4/19,Pop Up,5,72.6,1,NA,1
381,Milwaukee Brewers vs New York Mets,5/4/19,Pop Up,5,73,1,NA,1
382,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,66.8,1,1,1
383,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,87.3,5,NA,5
384,Milwaukee Brewers vs New York Mets,5/4/19,Pop Up,5,80.8,1,NA,1
385,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,68.7,1,1,1
386,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,4,NA,4
387,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,NA,2,NA,2
388,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,65.2,1,1,1
389,Milwaukee Brewers vs New York Mets,5/4/19,Batter hits self,1,60.4,1,1,1
390,Milwaukee Brewers vs New York Mets,5/4/19,Pop Up,5,68.9,1,NA,1
391,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,81.7,3,3,3
392,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,87.4,5,5,5
393,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,5,NA,5
394,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,53.7,1,1,1
395,Milwaukee Brewers vs New York Mets,5/4/19,Pop Up,5,NA,1,1,1
396,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,72,1,1,1
397,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,79.7,1,1,1
398,Milwaukee Brewers vs New York Mets,5/4/19,Batter hits self,1,82,1,1,1
399,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,101.8,5,5,5
400,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,70.6,4,NA,4
401,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,NA,1,1,1
402,Milwaukee Brewers vs New York Mets,5/4/19,Batter hits self,1,NA,1,1,1
403,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,5,NA,5
404,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,71.8,5,NA,5
405,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,69.4,4,NA,4
406,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,51.1,5,NA,5
407,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,4,NA,4
408,Milwaukee Brewers vs New York Mets,5/4/19,Ground,3,NA,5,NA,5
409,Milwaukee Brewers vs New York Mets,5/4/19,Fly,2,NA,5,NA,5
410,Texas Rangers vs Toronto Blue Jays,5/3/19,Pop Up,5,69.2,1,NA,1
411,Texas Rangers vs Toronto Blue Jays,5/3/19,Line,4,89.5,4,4,4
412,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,69.9,1,1,1
413,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,57.2,2,NA,2
414,Texas Rangers vs Toronto Blue Jays,5/3/19,Line,4,NA,1,1,1
415,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,NA,3,NA,3
416,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,74.6,1,1,1
417,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,69.8,1,1,1
418,Texas Rangers vs Toronto Blue Jays,5/3/19,Batter hits self,1,NA,1,1,1
419,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,65.6,1,1,1
420,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,NA,1,1,1
421,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,74,3,NA,3
422,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,69.7,4,NA,4
423,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,78,2,NA,2
424,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,71.6,4,NA,4
425,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,57.4,5,5,5
426,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,72.4,5,NA,5
427,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,72,1,1,1
428,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,94,6,6,6
429,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,76.9,5,5,5
430,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,72.1,5,NA,5
431,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,85.1,5,5,5
432,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,77.8,3,NA,3
433,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,80.2,5,NA,5
434,Texas Rangers vs Toronto Blue Jays,5/3/19,Pop Up,5,74.3,1,NA,1
435,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,NA,5,NA,5
436,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,83.5,4,NA,4
437,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,88.2,3,3,3
438,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,67.1,1,1,1
439,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,75.7,4,NA,4
440,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,78.1,1,1,1
441,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,NA,1,1,1
442,Texas Rangers vs Toronto Blue Jays,5/3/19,Line,4,76.8,1,1,1
443,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,75.1,4,NA,4
444,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,64.7,5,NA,5
445,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,83.8,5,5,5
446,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,78.5,1,1,1
447,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,75.8,2,NA,2
448,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,61.4,4,NA,4
449,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,70.8,4,NA,4
450,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,80.7,4,NA,4
451,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,105.3,4,4,4
452,Texas Rangers vs Toronto Blue Jays,5/3/19,Line,4,76.9,5,5,5
453,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,77,4,NA,4
454,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,76,1,1,1
455,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,75.4,4,NA,4
456,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,72,2,NA,2
457,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,74.9,4,NA,4
458,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,62.5,4,NA,4
459,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,86.7,4,NA,4
460,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,NA,4,NA,4
461,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,NA,1,1,1
462,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,NA,1,1,1
463,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,NA,1,1,1
464,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,NA,2,NA,2
465,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,NA,1,1,1
466,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,67.5,5,NA,5
467,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,NA,1,1,1
468,Texas Rangers vs Toronto Blue Jays,5/3/19,Line,4,83.9,1,1,1
469,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,75.3,2,NA,2
470,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,107.6,5,NA,5
471,Texas Rangers vs Toronto Blue Jays,5/3/19,Pop Up,5,NA,1,NA,1
472,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,89.4,4,NA,4
473,Texas Rangers vs Toronto Blue Jays,5/3/19,Pop Up,5,74.9,1,NA,1
474,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,81.1,4,NA,4
475,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,NA,2,NA,2
476,Texas Rangers vs Toronto Blue Jays,5/3/19,Pop Up,5,79.9,1,NA,1
477,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,NA,2,NA,2
478,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,91.9,7,7,7
479,Texas Rangers vs Toronto Blue Jays,5/3/19,Pop Up,5,NA,1,NA,1
480,Texas Rangers vs Toronto Blue Jays,5/3/19,Pop Up,5,NA,1,1,1
481,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,NA,5,5,5
482,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,95.7,5,5,5
483,Texas Rangers vs Toronto Blue Jays,5/3/19,Line,4,NA,1,1,1
484,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,95.7,5,NA,5
485,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,68.1,5,NA,5
486,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,75,2,NA,2
487,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,36.2,5,NA,5
488,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,59.1,4,NA,4
489,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,NA,2,NA,2
490,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,68.2,4,NA,4
491,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,75.3,4,NA,4
492,Texas Rangers vs Toronto Blue Jays,5/3/19,Ground,3,NA,1,1,1
493,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,75.3,4,NA,4
494,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,92.3,5,NA,5
495,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,79.2,1,1,1
496,Texas Rangers vs Toronto Blue Jays,5/3/19,Fly,2,101.4,5,NA,5
497,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,2,2,2
498,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,2,NA,2
499,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,77.5,3,NA,3
500,Philadelphia Phillies vs Miami Marlins,4/27/19,Batter hits self,1,NA,1,1,1
501,Philadelphia Phillies vs Miami Marlins,4/27/19,Pop Up,5,60.8,1,NA,1
502,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,94.4,5,7,5
503,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,68.9,2,NA,2
504,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,2,NA,2
505,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,1,1,1
506,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,83.1,4,4,4
507,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,2,NA,2
508,Philadelphia Phillies vs Miami Marlins,4/27/19,Batter hits self,1,NA,1,1,1
509,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,NA,3,NA,3
510,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,2,NA,2
511,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,NA,2,NA,2
512,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,95.9,4,4,4
513,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,3,3,3
514,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,1,1,1
515,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,5,NA,5
516,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,87.1,4,4,4
517,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,75.3,5,NA,5
518,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,74.4,5,NA,5
519,Philadelphia Phillies vs Miami Marlins,4/27/19,Batter hits self,1,NA,1,1,1
520,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,69.7,5,NA,5
521,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,91.7,4,4,4
522,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,2,NA,2
523,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,68,5,NA,5
524,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,4,NA,4
525,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,2,NA,2
526,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,70.2,1,1,1
527,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,79.1,2,4,4
528,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,85.6,2,4,4
529,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,73.7,4,NA,4
530,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,64,4,NA,4
531,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,NA,5,NA,5
532,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,73.1,3,NA,3
533,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,99.4,4,NA,4
534,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,69.4,5,NA,5
535,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,74.9,3,NA,3
536,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,NA,5,NA,5
537,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,75,5,NA,5
538,Philadelphia Phillies vs Miami Marlins,4/27/19,Pop Up,5,73.4,1,NA,1
539,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,NA,4,NA,4
540,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,72.7,4,NA,4
541,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,5,NA,5
542,Philadelphia Phillies vs Miami Marlins,4/27/19,Batter hits self,1,NA,1,NA,1
543,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,73.7,3,5,5
544,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,71,2,NA,2
545,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,66.4,3,NA,3
546,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,1,NA,1
547,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,72.4,4,NA,4
548,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,100.7,4,4,4
549,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,4,4,4
550,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,NA,2,NA,2
551,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,77.8,4,NA,4
552,Philadelphia Phillies vs Miami Marlins,4/27/19,Pop Up,5,71.3,1,NA,1
553,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,64.7,4,NA,4
554,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,NA,5,NA,5
555,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,58.9,4,4,4
556,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,69.3,2,NA,2
557,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,NA,2,NA,2
558,Philadelphia Phillies vs Miami Marlins,4/27/19,Line,4,39.9,1,1,1
559,Philadelphia Phillies vs Miami Marlins,4/27/19,Line,4,NA,1,1,1
560,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,63.1,5,NA,5
561,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,78.8,4,NA,4
562,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,77.4,4,NA,4
563,Philadelphia Phillies vs Miami Marlins,4/27/19,Line,4,NA,1,1,1
564,Philadelphia Phillies vs Miami Marlins,4/27/19,Pop Up,5,56.8,1,NA,1
565,Philadelphia Phillies vs Miami Marlins,4/27/19,Line,4,NA,1,1,1
566,Philadelphia Phillies vs Miami Marlins,4/27/19,Line,4,NA,1,1,1
567,Philadelphia Phillies vs Miami Marlins,4/27/19,Batter hits self,1,NA,1,1,1
568,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,4,NA,4
569,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,NA,5,NA,5
570,Philadelphia Phillies vs Miami Marlins,4/27/19,Fly,2,78,5,NA,5
571,Philadelphia Phillies vs Miami Marlins,4/27/19,Ground,3,NA,4,NA,4
572,Oakland A's vs Houston Astros,6/2/19,Fly,2,82.6,5,NA,5
573,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,1,1,1
574,Oakland A's vs Houston Astros,6/2/19,Ground,3,77.9,1,1,1
575,Oakland A's vs Houston Astros,6/2/19,Line,4,NA,1,1,1
576,Oakland A's vs Houston Astros,6/2/19,Ground,3,62.5,2,NA,2
577,Oakland A's vs Houston Astros,6/2/19,Fly,2,76.1,5,NA,5
578,Oakland A's vs Houston Astros,6/2/19,Fly,2,76,2,NA,2
579,Oakland A's vs Houston Astros,6/2/19,Fly,2,75.7,5,NA,5
580,Oakland A's vs Houston Astros,6/2/19,Ground,3,87.3,4,NA,4
581,Oakland A's vs Houston Astros,6/2/19,Ground,3,NA,2,NA,2
582,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,5,NA,5
583,Oakland A's vs Houston Astros,6/2/19,Fly,2,77.2,3,NA,3
584,Oakland A's vs Houston Astros,6/2/19,Fly,2,75.6,3,NA,3
585,Oakland A's vs Houston Astros,6/2/19,Line,4,92.4,4,4,4
586,Oakland A's vs Houston Astros,6/2/19,Ground,3,NA,1,1,1
587,Oakland A's vs Houston Astros,6/2/19,Fly,2,91.1,5,5,5
588,Oakland A's vs Houston Astros,6/2/19,Line,4,79,1,1,1
589,Oakland A's vs Houston Astros,6/2/19,Fly,2,70.3,4,NA,4
590,Oakland A's vs Houston Astros,6/2/19,Fly,2,77.4,2,NA,2
591,Oakland A's vs Houston Astros,6/2/19,Line,4,NA,1,1,1
592,Oakland A's vs Houston Astros,6/2/19,Fly,2,89.7,4,4,4
593,Oakland A's vs Houston Astros,6/2/19,Line,4,NA,1,1,1
594,Oakland A's vs Houston Astros,6/2/19,Fly,2,77,3,NA,3
595,Oakland A's vs Houston Astros,6/2/19,Fly,2,80.3,1,1,1
596,Oakland A's vs Houston Astros,6/2/19,Fly,2,86.1,5,5,5
597,Oakland A's vs Houston Astros,6/2/19,Fly,2,72.1,3,NA,3
598,Oakland A's vs Houston Astros,6/2/19,Ground,3,58.4,1,1,1
599,Oakland A's vs Houston Astros,6/2/19,Fly,2,74.7,3,NA,3
600,Oakland A's vs Houston Astros,6/2/19,Line,4,NA,5,5,5
601,Oakland A's vs Houston Astros,6/2/19,Ground,3,84.6,5,5,5
602,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,5,NA,5
603,Oakland A's vs Houston Astros,6/2/19,Line,4,NA,1,1,1
604,Oakland A's vs Houston Astros,6/2/19,Fly,2,67.1,2,NA,2
605,Oakland A's vs Houston Astros,6/2/19,Fly,2,82.4,5,5,5
606,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,1,1,1
607,Oakland A's vs Houston Astros,6/2/19,Line,4,82.6,5,5,5
608,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,3,5,5
609,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,2,NA,2
610,Oakland A's vs Houston Astros,6/2/19,Fly,2,75.8,4,NA,4
611,Oakland A's vs Houston Astros,6/2/19,Ground,3,NA,5,NA,5
612,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,3,NA,3
613,Oakland A's vs Houston Astros,6/2/19,Fly,2,67.6,2,NA,2
614,Oakland A's vs Houston Astros,6/2/19,Fly,2,67.9,2,NA,2
615,Oakland A's vs Houston Astros,6/2/19,Line,4,47.3,5,5,5
616,Oakland A's vs Houston Astros,6/2/19,Fly,2,81.3,5,5,5
617,Oakland A's vs Houston Astros,6/2/19,Fly,2,82.9,5,NA,5
618,Oakland A's vs Houston Astros,6/2/19,Fly,2,77.1,5,NA,5
619,Oakland A's vs Houston Astros,6/2/19,Ground,3,53.1,1,1,1
