year,ISO_code,countries,region,pf_rol,pf_religion_restrictions,pf_religion,pf_expression_control,pf_expression,pf_score,pf_rank,ef_money_inflation,ef_money_currency,ef_money,ef_score,ef_rank,hf_score,hf_rank,hf_quartile,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
2010,GAB,Gabon,Sub-Saharan Africa,4.805554,8.1,8.12962963,4.25,7.55952381,6.06027311,123,9.707691195,0,5.652028138,5.54,141,5.800136555,133,4,347,98,59,8.9
2010,GMB,"Gambia, The",Sub-Saharan Africa,4.805554,8.377777778,8.781111111,1.25,4.168422065,5.57620801,137,8.990493747,5,7.922044426,7.24,49,6.408104005,114,3,8,0,1,2.4
2010,GEO,Georgia,Caucasus & Central Asia,6,7.544444444,8.62,4.5,7.458333333,8.13660921,49,8.580115967,10,8.804075115,7.5,27,7.818304605,41,2,52,100,149,5.4
2010,DEU,Germany,Western Europe,7.9,6.108333333,7.795,8.25,8.988095238,9.106744445,13,9.772514802,10,9.591994635,7.59,19,8.348372223,14,1,346,117,175,11.3
2010,GHA,Ghana,Sub-Saharan Africa,5.4,6.711111111,7.12037037,7.75,9.297619048,7.581634549,63,7.858486376,5,7.128027148,6.75,83,7.165817275,66,2,31,3,10,1.8
2010,GRC,Greece,Eastern Europe,6.1,8.844444444,9.157777778,6.25,7.751182655,8.619477449,38,9.057666667,10,9.665036963,6.81,82,7.714738725,45,2,133,112,218,8.3
2010,GTM,Guatemala,Latin America & the Caribbean,4.6,9.35,8.551851852,3.75,8.345238095,7.273042328,78,9.22809818,10,9.370258692,7.15,60,7.211521164,63,2,53,69,2,2.2
2010,GIN,Guinea,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,2,0.2
2010,GNB,Guinea-Bissau,Sub-Saharan Africa,3.662794,7.172222222,8.261666667,3.75,7.1875,6.33105054,117,9.49642972,0,6.264586329,5.05,148,5.69052527,138,4,28,31,21,2.5
2010,GUY,Guyana,Latin America & the Caribbean,4.846367,9.816666667,9.593888889,6.75,8.604166667,7.19458938,83,9.582666667,5,7.959563519,6.21,117,6.70229469,99,3,93,302,1,7.1
2010,HTI,Haiti,Latin America & the Caribbean,3.649189,9.027777778,7.598148148,5.75,8.726190476,7.02183358,87,8.860697795,10,8.02627591,6.21,117,6.61591679,103,3,1,326,1,5.9
2010,HND,Honduras,Latin America & the Caribbean,4.302196,9.122222222,8.451481481,2.5,6.261904762,6.488554291,106,9.059890014,10,9.35145317,7.21,54,6.849277146,86,3,69,98,2,3
2010,HKG,Hong Kong,East Asia,7.5,7.638888889,9.015185185,7,9.047619048,9.036895813,18,9.532520325,10,9.310312283,9.02,1,9.028447907,1,1,NA,NA,NA,NA
2010,HUN,Hungary,Eastern Europe,6.4,9.35,9.716666667,7.25,9.130952381,8.882872001,25,9.023912221,10,9.595919181,7.31,45,8.096436,28,1,234,215,185,11.3
2010,ISL,Iceland,Western Europe,7.798499,8.333333333,8.514444444,8.75,9.604166667,9.193639138,11,8.920699047,0,5.924888411,6.48,102,7.836819569,40,2,233,61,78,6.6
2010,IND,India,South Asia,4.3,5.738888889,8.37,5.75,8.453279791,6.574171681,102,7.601540616,0,6.41627137,6.39,107,6.482085841,113,3,9,114,0,2.2
2010,IDN,Indonesia,South Asia,4.6,6.247222222,5.44537037,5,8.245968091,7.162843205,85,8.97344902,10,8.987767452,6.85,77,7.006421602,74,2,5,1,0,0.1
2010,IRN,Iran,Middle East & North Africa,4.3,3.747222222,5.004722222,0.75,4.047593372,4.489004807,153,7.972570566,10,8.676481929,5.91,132,5.199502404,149,4,0,0,0,0
2010,IRQ,Iraq,Middle East & North Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,0,0.2
2010,IRL,Ireland,Western Europe,7.893729,4.997222222,7.265740741,8.5,9.547619048,9.069071526,16,9.810766721,10,9.481346191,7.67,16,8.369535763,12,1,313,118,165,11.4
2010,ISR,Israel,Middle East & North Africa,6.696551,9.627777778,9.653703704,6.25,9.130952381,8.476937084,40,9.461408178,10,8.959056107,7.32,43,7.898468542,39,1,63,69,9,2.5
2010,ITA,Italy,Western Europe,6.7,4.905555556,7.298148148,6.75,9.011904762,8.762425872,31,9.692021322,10,9.663343678,7.19,57,7.976212936,37,1,85,42,237,6.5
2010,JAM,Jamaica,Latin America & the Caribbean,4.6,8.888888889,9.241111111,7.75,9.1875,7.224409722,82,7.478098353,10,7.975243971,6.97,70,7.097204861,69,2,82,97,9,3.4
2010,JPN,Japan,East Asia,7.3,8.888888889,7.827407407,6.75,9.44047619,8.78973097,28,9.856043683,10,9.88671998,7.59,19,8.189865485,24,1,77,202,16,7
2010,JOR,Jordan,Middle East & North Africa,5.3,4.255555556,4.290740741,4,7.714285714,5.935704047,125,8.997211671,10,9.124260182,7.45,33,6.692852024,100,3,6,21,1,0.5
2010,KAZ,Kazakhstan,Caucasus & Central Asia,4.6,6.941666667,7.503888889,2.75,6.591044894,6.910898539,90,8.576837281,10,8.244762066,6.94,72,6.92544927,79,3,124,246,12,6.8
2010,KEN,Kenya,Sub-Saharan Africa,4.3,5.830555556,7.567962963,5.5,8.452380952,6.464775312,109,9.207722222,10,8.741374521,6.92,75,6.692387656,100,3,58,22,2,1.8
2010,KOR,"Korea, South",East Asia,7.5,7.727777778,9.024074074,6.5,8.595238095,8.83331843,26,9.414893617,10,9.577150801,7.51,26,8.171659215,25,1,140,16,9,9.8
2010,KWT,Kuwait,Middle East & North Africa,6.234005,9.166666667,7.314814815,4.5,6.404457424,6.244274736,120,9.195979899,10,8.065858614,6.95,71,6.597137368,105,3,0,0,0,0
2010,KGZ,Kyrgyz Republic,Caucasus & Central Asia,4,4.95,6.725,2.75,5.519715165,6.18858397,121,8.406455549,10,8.206027592,6.61,95,6.399291985,116,4,31,97,6,2.4
2010,LAO,Laos,South Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,0,123,6.2
2010,LVA,Latvia,Eastern Europe,6.574112,6.430555556,7.754259259,7.25,9.321428571,8.657640716,35,9.782350143,10,8.932539694,7.23,50,7.943820358,38,1,281,216,62,10.5
